token,importance
</s>,14.982712
▁stadium,3.615984
▁concert,2.8734245
▁,2.0753748
▁concert,2.0082378
▁,1.9787922
▁singer,1.9410764
▁singer,1.9212635
▁singer,1.8452324
▁,1.7820649
▁,1.698489
▁stadium,1.6438934
▁,1.611064
▁ordered,1.5550772
▁,1.5008276
▁,1.4572239
▁,1.3573333
.,1.3011647
▁singer,1.2961425
▁concert,1.284953
▁youngest,1.2609577
▁year,1.248006
▁by,1.2406744
▁country,1.2300292
▁name,1.1784911
▁,1.1492335
▁concert,1.1338727
▁country,1.0875559
i,1.018378
▁song,0.9784945
▁from,0.9585413
COL,0.93306273
▁,0.91134053
",",0.888833
▁oldest,0.86921537
▁singer,0.86820453
▁stadium,0.8075419
▁release,0.79929435
▁to,0.77534693
▁age,0.7670874
▁T,0.75176185
i,0.741775
",",0.71058494
▁age,0.6929677
d,0.6738958
COL,0.67307025
▁T,0.6676204
UM,0.66668105
▁in,0.6663433
▁Show,0.6654504
▁song,0.6339968
▁all,0.6180408
▁year,0.6069427
i,0.5966101
▁concert,0.5799453
▁name,0.5798972
▁the,0.5541858
▁male,0.5236229
▁T,0.5163366
NS,0.50968087
▁T,0.5009127
ABLE,0.48914602
UM,0.48099294
▁is,0.480448
▁name,0.45586514
▁age,0.45050535
ABLE,0.44816357
▁the,0.43954355
i,0.43258712
i,0.43193766
COL,0.42589724
COL,0.42321083
▁lowest,0.4230786
▁average,0.41893443
i,0.41427195
▁for,0.41362196
NS,0.40535197
ABLE,0.35805473
▁location,0.35704052
▁theme,0.32897252
UM,0.3221697
UM,0.31045467
d,0.3096605
d,0.28993836
▁name,0.28488854
ABLE,0.27406383
▁capacity,0.26808122
s,0.26735663
▁highest,0.257858
NS,0.2529594
d,0.24966212
▁name,0.24671473
NS,0.23799118
d,0.19406642
d,0.19169621
